,SKU,code,brands,quantity,status,user_ID,frequency_in_weeks,starts,next_delivery,last_edit,creation_date
214,PupCH468,177,Purina - Dog Chow,1,active,872,4,2023-05-04,2023-06-01,2023-05-04,2022-07-28
215,PupCH466,177,Purina - Dog Chow,1,active,872,4,2023-05-04,2023-06-01,2023-05-04,2022-07-28
216,PugFX473,177,Felix,2,active,872,4,2023-05-04,2023-06-01,2023-05-04,2022-07-28
217,PugFX476,177,Felix,1,active,872,4,2023-05-04,2023-06-01,2023-05-04,2022-07-28
218,PugFX477,177,Felix,1,active,872,4,2023-05-04,2023-06-01,2023-05-04,2022-07-28
219,PupCH3083,177,Purina - Dog Chow,1,active,872,4,2023-05-04,2023-06-01,2023-05-04,2022-07-28
220,RopRC31390,178,Royal Canin,1,paused,902,2,2022-08-16,2023-05-09,2022-08-23,2022-07-29
221,RopRC31326,178,Royal Canin,1,paused,902,2,2022-08-16,2023-05-09,2022-08-23,2022-07-29
222,BrgBC12018,179,Bravecto,2,active,997,2,2023-05-02,2023-05-16,2023-04-29,2022-07-29
223,ScgSDd2198,179,Hills Science Diet - Hills,1,active,997,2,2023-05-02,2023-05-16,2023-04-29,2022-07-29
224,no_SKU,181,,1,paused,741,12,2022-12-10,2023-05-27,2022-11-08,2022-07-30
225,PACK1P,185,Pet Appétit CR,1,paused,31,7,2023-04-22,2023-06-10,2023-04-10,2022-08-01
226,RopRC31386,187,Royal Canin,1,paused,193,6,2023-02-19,2023-05-14,2023-02-01,2022-08-02
227,NapNPA2115,188,Natural Pets,2,paused,1019,12,2022-08-27,2023-07-29,2022-08-18,2022-08-03
228,ScpSD11441,189,Hills Prescription Diet - Hills,1,paused,995,4,2022-08-18,2023-05-25,2022-09-05,2022-08-03
229,VipVC31681,191,Virbac,1,active,423,5,2023-03-31,2023-06-09,2023-03-30,2022-08-04
230,ScpSD11472,192,Hills Prescription Diet - Hills,1,paused,553,12,2022-10-21,2023-06-30,2022-09-27,2022-08-04
231,1spFC1796,193,1st Choice,1,paused,1025,4,2022-08-04,2023-05-11,2022-08-05,2022-08-04
232,BapBA2379,194,Balance,1,active,992,3,2023-05-17,2023-05-17,2023-05-02,2022-08-05
233,ScpSD11465,195,Hills Prescription Diet - Hills,1,active,1046,8,2023-06-30,2023-06-30,2023-03-24,2022-08-08
234,ScpSD21528,196,Hills Science Diet - Hills,1,paused,731,2,2022-09-23,2023-05-19,2022-09-29,2022-08-09
235,NupNS1295,197,NutriSource,1,active,1057,6,2023-03-20,2023-06-12,2023-03-12,2022-08-09
236,no_SKU,198,,1,paused,1067,8,2022-08-11,2023-05-18,2022-09-27,2022-08-11
237,BapBA1388,199,Balance,1,paused,1071,4,2023-04-14,2023-05-12,2023-05-01,2022-08-12
238,PupPP1409,200,Purina - Purina Pro Plan,1,active,1023,8,2023-06-30,2023-06-30,2023-04-24,2022-08-13
239,NapNPA2116,201,Natural Pets,3,paused,1019,2,2022-09-05,2023-05-15,2022-08-22,2022-08-13
240,NupNS1291,202,NutriSource,1,paused,954,4,2022-08-13,2023-05-20,2022-09-25,2022-08-13
241,PupBE215,203,Purina - Beneful,1,active,31,4,2023-04-25,2023-05-23,2023-04-10,2022-08-16
242,NupNS1323,204,NutriSource,1,active,1099,4,2023-05-13,2023-05-13,2023-05-02,2022-08-17
243,PupPP2418,206,Purina - Purina Pro Plan,1,paused,1109,7,2022-08-18,2023-06-08,2022-09-24,2022-08-19
244,PupPP3436,207,Purina - Purina Pro Plan,1,active,1111,3,2024-06-21,2024-06-21,2023-02-12,2022-08-19
245,NapNPA2108,208,Natural Pets,3,active,1112,3,2023-05-12,2023-05-12,2023-05-06,2022-08-19
246,NapNPA2109,208,Natural Pets,3,active,1112,3,2023-05-12,2023-05-12,2023-05-06,2022-08-19
