Proveedor,Pets,Categoría,Marca,SKU,Nombre de producto,DIC,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC.1,ENE.1,FEB.1,MAR.1,TOTAL GENERAL,Ventas Prom x Mes,Pronostico Abril,Ventas Abr,Promedio ultimos 3 meses,Time meses en inventario,TOTAL AS,AUTOSHIPS (ACTIVOS-15 DÍAS),AUTOSHIPS (ACTIVOS-30 DÍAS),SAFETY STOCK,STOCK Actual,STOCK- safety stock,Tipo de producto,Cantidades a Ordenar,inventario total
VETIM SA,perro,Alimento,Science Diet,ScpSD31527,"Adult Small Bites Chicken And Barley - 2, kg",0.0,0.0,0.0,0,1,1,1,2,3,4,1,2,1,3,3,1,23,2.0,2.5,2,2.0,0.5,2,0,2,0.875,1.0,0.0,BB,NA,1.0
Corpeco,dos,Farmacia,Zoetis,ZodMe2162,"Apoquel - 3.6, mg",0.0,0.0,0.0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0.0,0.0,0,0.0,NA,0,0,0,0.0,30.0,0.0,DC,NA,30.0
Nestle,perro,Alimento,Dog Chow,PupCH468,"Alimento Húmedo Adultos Pollo Lata - 368, g",NA,1.0,1.0,1,1,0,0,0,0,1,0,0,5,2,2,1,15,2.0,2.5,1,1.3333333333333333,4.5,1,0,1,0.875,6.0,0.0,DC,NA,6.0
VETIM SA,perro,Alimento,Science Diet,ScpSD21528,"Adult Small Bites Chicken And Barley - 6.8, kg",0.0,0.0,0.0,0,0,0,2,0,2,4,3,4,2,2,3,5,27,3.2,4.0,3,3.6666666666666665,2.181818181818182,4,2,1,3.4,8.0,0.0,AB,NA,8.0
BELINA,perro,Alimento,NutriSource,NupNS2278,"Chicken And Rice Adulto - 6.8, kg",0.0,0.0,0.0,0,0,0,1,1,2,1,2,1,1,1,2,3,15,1.6,2.0,0,1.6666666666666667,2.4,3,1,1,1.7,4.0,0.0,BC,0.0,4.0
OKAP,perro,Accesorios,OKAP,OKpOK2935,Cuadrado - M,0.0,0.0,0.0,5,0,0,0,0,0,0,1,0,0,1,0,1,8,0.4,0.5,0,0.3333333333333333,0.0,0,0,0,0.175,0.0,0.0,DC,NA,0.0
VETIM SA,perro,Alimento,Science Diet,ScpSD21519,"Puppy Original Chicken - 7.04, kg",0.0,0.0,0.0,0,0,0,0,1,1,2,4,3,2,2,1,2,18,2.0,2.5,1,1.3333333333333333,2.25,1,1,0,1.875,3.0,0.0,AB,NA,3.0
VETIM SA,perro,Alimento,Prescription Diet,ScpSD11441,"c/d® Multicare Canine - 12.5, kg",NA,NA,NA,1,0,1,0,0,1,2,1,0,1,1,0,1,9,0.6,0.75,0,0.3333333333333333,6.0,1,0,0,0.26249999999999996,2.0,0.0,AC,NA,2.0
BELINA,perro,Alimento,Balance,BapBA1369,"Control de Peso - 14.97, kg",NA,NA,2.0,1,0,0,1,0,2,1,0,2,2,1,2,2,16,1.8,2.25,2,2.0,0.5,2,0,2,0.7875,1.0,0.0,BC,1.0,2.0
Yanyunis,perro,Alimento,Taste Of the Wild,TapTW3135,"South West Canyon (Jabali) - 2.3, kg",NA,1.0,1.0,0,0,0,0,1,0,2,0,0,0,1,0,0,6,0.2,0.25,1,0.3333333333333333,9.0,1,1,0,1.0875,3.0,0.0,CC,NA,3.0
